# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_com_aroma_ring[1] c_com_aroma_ring[2] c_com_aroma_ring[3]
6000 12
10 -17.1332 -21.9359 11.744
11 -7.66177 1.7932 -20.6471
12 36.6986 4.78133 11.4892
90000 12
1 14.3004 21.9234 -20.6492
2 4.03201 -17.4214 -21.088
3 -20.2191 19.1354 -20.4541
4 -1.58364 -11.9469 11.2102
5 -4.52451 21.3875 11.7477
6 -19.8301 18.2741 42.4351
7 12.158 -16.3454 -20.3797
8 -24.182 -34.1222 -20.5054
9 -31.4359 22.54 -20.6193
10 -18.7741 -21.2221 11.7386
11 -7.18146 1.91559 -20.4177
12 37.8889 4.98695 11.7148
96000 12
1 14.3047 22.5792 -20.3174
2 3.32208 -17.241 -20.5036
3 -19.907 19.5086 -20.6446
4 -2.8194 -12.0366 11.6294
5 -4.88989 21.5308 11.5121
6 -19.3164 19.0055 42.3327
7 11.6613 -15.4585 -20.4332
8 -24.7518 -35.1079 -20.8407
9 -31.4634 23.2341 -20.2754
10 -19.5314 -20.5781 11.5193
11 -6.65314 2.82574 -20.2758
12 38.0559 4.71842 11.5978
102000 12
1 13.9298 23.2636 -20.6975
2 2.67059 -17.4732 -20.2116
3 -19.5113 19.1143 -20.9653
4 -3.77555 -12.0535 11.8721
5 -4.13897 21.6722 11.4685
6 -18.9576 18.6741 41.9327
7 11.6158 -15.4275 -20.5023
8 -24.5552 -34.7905 -21.019
9 -31.9091 23.9354 -20.6702
10 -20.2105 -20.4708 11.4651
11 -6.64422 2.9083 -20.7404
12 38.2939 5.58794 11.8013
108000 12
1 13.9755 23.3388 -21.0511
2 2.89249 -17.3257 -20.0704
3 -19.0713 18.6696 -20.9834
4 -4.2292 -12.1866 11.3923
5 -3.60057 21.2664 11.5117
6 -18.5516 18.7435 42.1451
7 11.6712 -15.0941 -20.6632
8 -24.5166 -33.9217 -20.7964
9 -31.8655 23.9992 -21.0258
10 -21.2943 -19.7315 11.7236
11 -6.69613 2.87895 -20.7713
12 37.9627 6.11101 11.8001
114000 12
1 14.5723 23.1795 -21.1021
2 3.99641 -17.9235 -20.3144
3 -18.7585 18.9162 -21.0191
4 -4.25071 -12.9432 11.1872
5 -3.33822 22.619 11.6964
6 -18.3643 18.992 42.0809
7 11.9986 -14.793 -20.6697
8 -24.5828 -34.0713 -20.8261
9 -31.311 23.8663 -21.0966
10 -21.5526 -18.3138 11.4907
11 -6.13131 2.86487 -20.4404
12 37.913 5.2746 11.8345
120000 12
1 14.5423 23.1614 -20.6216
2 5.16967 -18.115 -20.5785
3 -18.4007 19.8002 -20.9665
4 -4.40786 -13.4316 11.4903
5 -2.59102 23.2106 11.5768
6 -18.1005 20.1372 42.1549
7 12.5093 -14.3566 -20.7526
8 -24.458 -34.6853 -20.8857
9 -31.2398 23.8019 -20.6071
10 -21.7925 -18.988 11.3413
11 -5.95542 3.76392 -20.4634
12 36.9014 5.96494 11.3643
126000 12
1 14.0171 24.1077 -20.4888
2 4.52406 -17.8189 -20.5483
3 -18.7844 20.4337 -20.4423
4 -4.85809 -13.8621 11.5946
5 -2.69545 22.9075 11.8129
6 -18.801 20.926 42.675
7 13.0678 -15.0005 -20.7642
8 -24.205 -34.6656 -20.7556
9 -31.607 24.6546 -20.3959
10 -21.2815 -19.0553 11.4091
11 -6.24455 5.18703 -20.2638
12 36.2614 6.04771 11.4273
132000 12
1 13.696 24.3688 -20.4736
2 4.89432 -16.878 -20.538
3 -19.514 20.2722 -19.9942
4 -5.04328 -14.2274 11.7147
5 -2.39375 22.4986 11.6803
6 -19.1321 20.5701 43.1058
7 13.5984 -15.223 -20.474
8 -24.4493 -34.7266 -20.5888
9 -31.7564 24.7707 -20.413
10 -20.6608 -19.0177 11.7156
11 -5.75477 6.31571 -20.55
12 35.3095 6.19639 11.5148
138000 12
1 13.2801 24.0301 -20.4648
2 4.94772 -16.8731 -20.6948
3 -19.336 20.3475 -20.0622
4 -4.11066 -14.8515 11.8874
5 -1.72431 21.6235 11.6123
6 -18.6446 20.5144 43.0109
7 14.005 -14.7836 -20.6036
8 -24.1598 -34.7818 -20.5516
9 -32.1965 24.5392 -20.5152
10 -21.1004 -18.8371 11.544
11 -4.5164 6.93676 -20.5024
12 34.9024 5.88662 11.6995
144000 12
1 13.2147 23.703 -20.6484
2 4.28043 -16.8878 -20.7273
3 -19.162 20.4359 -20.4341
4 -4.25516 -14.5542 11.3773
5 -1.63038 21.5413 11.4617
6 -19.4632 20.6411 42.6013
7 13.8976 -15.0982 -20.6348
8 -23.21 -33.9361 -20.1717
9 -32.3358 24.2221 -20.6878
10 -20.9189 -18.4386 11.3171
11 -4.56282 7.33645 -20.6662
12 34.7511 6.28866 11.5875
150000 12
1 13.1484 22.9942 -20.746
2 3.87017 -16.758 -20.7092
3 -20.0758 19.9392 -20.6734
4 -3.40702 -13.998 11.3997
5 -1.56023 21.7793 11.5038
6 -19.8169 20.3246 42.3796
7 13.1403 -15.535 -20.9114
8 -23.0491 -34.6356 -19.9196
9 -32.3609 23.4469 -20.7813
10 -20.3103 -17.582 11.5357
11 -4.8946 7.1959 -20.3373
12 34.234 6.65562 11.7008
156000 12
1 13.3126 22.8709 -20.65
2 3.35653 -16.0947 -20.9383
3 -19.8589 19.9707 -20.5467
4 -2.89816 -13.9436 11.7126
5 -1.01167 21.9991 11.3691
6 -19.5921 20.6581 42.5259
7 12.9633 -16.7398 -20.9316
8 -22.1987 -35.0282 -20.33
9 -32.2748 23.451 -20.6771
10 -19.5315 -16.4432 11.4678
11 -4.18393 7.23293 -20.3242
12 34.1437 7.46128 11.5747
162000 12
1 13.7746 22.9038 -20.4369
2 4.04037 -15.7699 -20.462
3 -19.9783 21.2918 -20.4782
4 -3.3824 -13.6195 11.6491
5 -0.318281 22.8109 11.4573
6 -19.4012 21.8498 42.6139
7 13.4821 -17.502 -20.5135
8 -21.978 -34.8853 -20.6279
9 -31.9467 23.562 -20.4281
10 -19.1353 -15.1839 11.3128
11 -3.35598 7.51369 -20.4124
12 34.0316 8.07606 11.5837
168000 12
1 13.4801 23.1363 -20.4246
2 3.77582 -14.1739 -20.6384
3 -20.6367 20.9618 -20.4172
4 -3.51141 -13.5249 11.577
5 0.256698 22.941 11.7869
6 -19.8977 21.5278 42.6129
7 15.1076 -17.3112 -20.3164
8 -22.2051 -34.3514 -20.543
9 -32.0045 23.66 -20.4313
10 -19.2358 -15.3755 11.4144
11 -2.94245 7.48638 -20.5504
12 34.0619 8.46582 11.6605
174000 12
1 13.7551 22.9529 -20.4323
2 3.47697 -12.184 -20.4234
3 -20.0554 20.7682 -20.7634
4 -3.52097 -13.4021 11.6353
5 -0.498028 22.7884 11.683
6 -19.7031 21.3071 42.299
7 16.0567 -17.0455 -20.3288
8 -21.8517 -34.6735 -20.3026
9 -31.6386 23.3407 -20.4232
10 -19.6446 -15.3326 11.6359
11 -2.80259 7.60254 -20.6696
12 33.4104 7.98302 11.5124
180000 12
1 14.3842 22.6827 -20.6695
2 3.97337 -10.3822 -20.4663
3 -19.1424 20.8647 -20.8954
4 -3.60493 -13.8116 11.7247
5 -0.381196 22.6335 11.3346
