# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_com_aroma_ring[1] c_com_aroma_ring[2] c_com_aroma_ring[3]
6000 144
1 13.7009 37.0239 4.12297
2 -9.7363 7.91571 -7.45575
3 -10.2213 29.262 -44.9754
4 -9.81395 -11.3364 -11.6201
5 13.412 2.82299 2.97701
6 13.4609 -52.9126 23.466
7 -9.97079 53.9143 -20.3974
8 -32.9386 7.69433 -7.36591
9 13.5693 18.2674 -25.2958
10 -9.83995 7.18998 -7.60254
11 13.459 19.0634 -13.2615
12 13.5791 -4.59496 -22.0146
13 -10.1904 14.0893 30.5172
14 13.4662 0.382073 12.6795
15 13.0262 -36.4767 -3.50041
16 13.189 -25.8928 -59.3407
17 13.6324 20.7159 59.9304
18 17.7929 -10.6961 28.4755
19 -10.6313 -9.69707 22.5611
20 13.5403 -52.9724 24.1214
21 -9.67995 24.2619 -7.30876
22 -10.1985 24.5782 -0.0954489
23 -9.8507 32.2039 -26.8301
24 13.5591 -26.611 -26.8251
25 -10.4819 -8.7512 21.0793
26 13.5546 -10.849 7.13573
27 13.1957 -20.6016 6.34824
28 13.0101 -19.4475 4.46113
29 -10.5492 -27.3013 3.74101
30 -32.6854 -21.7171 13.8175
31 13.4368 -11.2327 7.67745
32 -10.6678 47.99 -32.3662
33 -10.2454 -21.3677 0.636346
34 13.0107 -37.185 -3.55113
35 13.3386 -11.8037 11.1491
36 -10.1911 1.05836 3.16077
37 13.4147 8.35787 -33.1633
38 13.5486 -6.37056 15.2031
39 13.7073 -7.88916 47.6376
40 -10.4145 -39.4382 -47.1685
41 13.5549 1.67892 9.62263
42 -10.1562 55.1778 3.254
43 -9.81267 4.38383 -9.50609
44 13.5378 -11.7028 9.28004
45 13.6328 10.5567 -19.6698
46 13.5977 3.05761 4.74641
47 13.4539 -21.2504 13.4071
48 13.3592 -21.066 8.25748
49 35.956 -7.03273 13.7559
50 -10.0891 -31.3118 29.1672
51 13.5938 -12.1913 0.859506
52 -10.0936 -30.6885 -41.0013
53 -32.9556 6.99776 -7.01763
54 13.4546 41.1427 -3.25406
55 -9.60874 -8.77012 -14.2603
56 -10.0434 56.1004 -20.9549
57 -10.0912 30.9076 -45.9944
58 -9.96578 53.9045 0.514208
59 -10.01 32.8337 -46.5951
60 13.484 -0.30866 12.6433
61 13.6342 1.75558 7.75807
62 13.6065 -7.08574 -15.5508
63 -9.98171 -14.5775 -68.4366
64 13.6144 29.1606 -19.2348
65 -10.5152 2.44188 16.0392
66 -9.90244 -0.864657 -15.5166
67 13.7021 29.9399 -10.5403
68 35.8367 -68.6557 9.86659
69 13.5892 -11.5052 2.42665
70 -32.8541 -22.2026 18.3153
71 -32.6729 -30.8995 20.2962
72 -10.373 1.93735 16.9545
73 12.9703 -30.0218 -45.4453
74 -10.0237 17.4874 -9.23672
75 -10.0687 54.3792 1.11882
76 -9.53074 27.3305 -11.7922
77 -10.3806 -21.7743 18.9249
78 12.9107 -30.3594 -44.8335
79 -32.6265 10.1092 12.9259
80 -9.82003 25.5659 -23.0982
81 -10.3711 -38.7977 -54.9548
82 13.1018 -27.7429 3.34925
83 13.425 -55.9976 33.4213
84 36.4798 24.3765 -8.00182
85 -9.5098 27.1583 -11.0853
86 -10.2551 6.87335 -21.2871
87 13.4007 8.8078 29.6035
88 13.4812 -60.5917 39.08
89 -10.3704 -19.1977 1.89053
90 -10.5177 -1.17142 11.3468
91 -32.6683 -30.567 19.7647
92 -9.69334 -10.4923 -13.3704
93 13.283 -21.026 10.2342
94 -32.5653 19.3972 -12.5595
95 -32.661 -19.9079 20.4638
96 13.6456 -54.2109 32.0501
97 -32.4597 19.5659 -10.461
98 -32.5874 -26.1284 31.1278
99 -10.3832 34.3816 -34.8847
100 -9.86999 -0.251491 -15.3432
101 -9.87565 62.0456 -21.5094
102 13.542 -5.43784 -2.70539
103 -9.86685 35.5156 -48.7619
104 -10.4412 -39.9355 -47.3525
105 -9.98251 13.5369 -31.8743
106 13.4331 17.5813 -23.5967
107 13.6968 29.2676 -10.7463
108 -9.76127 34.0908 -8.05322
109 -10.2038 34.688 -34.2779
110 -32.6171 -19.3537 20.9705
111 30.6729 -4.68877 -27.7068
112 12.9857 -0.424889 -2.52605
113 13.6478 -17.8297 -5.10845
114 -10.1311 0.164115 3.58209
115 -9.99986 17.0538 -9.56669
116 13.8148 21.7271 -3.64364
117 -10.3491 -29.2889 -42.8715
118 -9.93268 -13.1585 -69.8723
119 13.607 -5.70444 15.2996
120 -10.6505 -28.9384 4.65498
121 13.6418 -62.6818 -19.8698
122 -10.376 -24.2772 9.2442
123 -10.5516 -9.12903 21.7354
124 13.2332 11.6345 -10.8822
125 36.0916 -7.82895 13.4143
126 13.7236 2.47431 6.58887
127 -9.6788 38.6753 -21.6915
128 -32.5629 -2.31103 -24.697
129 -9.8086 34.6692 -9.86894
130 -9.76049 16.2397 -35.3356
131 -10.5973 48.6199 -33.0473
132 13.3755 2.01429 20.9878
133 -10.5068 -2.07407 11.61
134 13.4294 10.7297 13.3591
135 -10.1647 -20.9052 10.5875
136 13.4369 -60.657 38.4325
137 -10.3227 -22.4491 18.8104
138 -10.5348 3.95684 31.7521
139 35.8624 -18.3509 1.82129
140 17.6832 -57.4619 28.3621
141 -10.4406 -38.9924 -55.5543
142 -32.6877 -9.12591 33.9552
143 13.6309 -4.06645 -21.597
144 -10.0015 -12.219 -47.7372
12000 144
1 13.6483 37.2431 4.31686
2 -9.90242 7.83766 -6.83631
3 -10.3364 29.5358 -44.8595
4 -9.53054 -11.4501 -11.8938
5 13.2944 3.90445 3.22922
6 13.5625 -52.6622 24.0234
7 -9.88548 52.9902 -19.874
8 -32.8072 7.11601 -7.59492
9 13.1086 18.3355 -25.3979
10 -9.94041 7.14397 -7.51038
11 13.5618 19.4448 -13.4323
12 13.6537 -4.62117 -22.0369
13 -10.1089 13.7606 30.6862
14 13.4425 0.103304 12.9962
15 13.1169 -36.4404 -3.7036
16 13.2138 -25.8661 -58.5949
17 13.4035 20.9272 59.0605
18 18.058 -10.144 29.0398
19 -10.4841 -9.44997 22.3818
20 13.5939 -52.7749 24.6427
21 -10.0972 24.0464 -7.13772
22 -10.2967 24.6573 -0.869331
23 -10.004 32.3465 -26.2755
24 13.2362 -26.5134 -26.984
25 -10.4773 -8.49049 21.1106
26 13.384 -10.6625 7.01113
27 13.296 -20.7555 6.92721
28 13.3438 -19.988 4.15194
29 -10.4581 -26.8704 4.27605
30 -32.9565 -21.862 13.685
31 13.371 -11.1979 7.55205
32 -10.2628 47.5143 -31.4755
33 -10.3641 -21.2507 -0.180585
34 13.1872 -37.1332 -3.65762
35 13.4134 -12.5141 11.1137
36 -10.1488 1.18326 3.6071
37 13.2497 9.35203 -32.7836
38 13.2417 -6.36337 14.9094
39 13.5506 -7.61612 47.5486
40 -10.212 -40.1859 -47.7796
41 13.4447 1.53333 10.0844
42 -10.0845 55.8912 3.30609
43 -9.53426 4.26667 -9.07248
44 13.5598 -12.1271 9.20442
45 13.2159 10.1791 -20.0851
46 13.4687 3.7285 5.1135
47 13.1872 -21.2883 13.1528
48 13.1893 -21.0625 8.81049
49 35.7089 -6.54752 13.806
50 -10.0573 -31.5997 29.361
51 13.6202 -12.0679 0.783696
52 -10.1961 -30.7511 -40.6059
53 -32.799 6.93309 -7.04623
54 13.5058 41.2319 -2.99434
55 -9.73397 -9.46222 -14.8998
56 -9.65517 55.5692 -21.2597
57 -10.4338 31.049 -45.9722
58 -10.1023 54.3691 0.590084
59 -10.4429 32.718 -46.941
60 13.4492 -0.545003 13.1122
61 13.6166 2.0989 8.18343
62 13.5798 -6.63925 -15.6647
63 -9.63441 -14.5353 -68.6443
64 13.3558 29.6041 -19.4734
65 -10.4646 1.82384 16.1943
66 -9.56291 -1.17772 -14.94
67 13.7014 29.8036 -10.8403
68 35.5644 -68.5636 10.0867
69 13.5681 -11.4571 2.37908
70 -32.4956 -21.1994 18.5693
71 -32.6375 -30.9149 20.4633
72 -10.407 1.2902 17.1313
73 13.1209 -30.1456 -45.2443
74 -10.1445 17.0308 -8.97247
75 -10.2304 54.8934 0.99698
76 -9.78237 27.1898 -11.8615
77 -10.026 -21.8342 19.4799
78 13.0541 -30.5214 -44.7892
79 -32.7006 9.66269 13.219
80 -9.78375 25.2184 -22.9587
81 -10.2119 -38.9768 -54.6398
82 13.2642 -27.7293 4.02836
83 13.7277 -55.3985 32.8959
84 36.0208 24.1672 -7.81908
85 -9.82584 26.9142 -11.2369
86 -9.94227 6.11506 -20.6642
87 13.1955 9.8741 30.0197
88 13.4132 -60.9102 38.8853
89 -10.1754 -19.283 1.45857
90 -10.2641 -0.663488 12.3839
91 -32.5814 -30.6087 20.0408
92 -9.65354 -10.7395 -13.756
93 13.1077 -21.4123 10.6791
